subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments,cog_effort_q1,cog_effort_q2,cog_effort_q3,cog_effort_q4,cog_effort_q5,cog_effort_q6,cog_effort_q7,cog_effort_q8,cog_effort_q9,cog_effort_q10,cog_effort_q11,cog_effort_q12,cog_effort_q13,cog_effort_q14,cog_effort_q15,cog_effort_q16,cog_effort_q17,cog_effort_q18
7k1xpj2lbyu,13324,28/03/2022@15:18:21,null,1440,900,1440,1214,19,female,"white,asian",not_hispanic,corrected,I didn't really have a strong preference for either of the two options ,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,neutral,neutral,strongly_agree,somewhat_agree,somewhat_agree,strongly_agree,somewhat_disagree,somewhat_agree,strongly_agree,somewhat_agree,strongly_agree,somewhat_disagree,somewhat_agree
qdirzayxmam,13586,27/03/2022@16:46:41,null,1366,768,1349,1210,19,female,white,not_hispanic,corrected,,somewhat_disagree,somewhat_agree,strongly_disagree,somewhat_disagree,somewhat_agree,neutral,somewhat_agree,strongly_agree,strongly_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,strongly_agree,somewhat_disagree,somewhat_agree
p9ukeqhdldl,13338,27/03/2022@17:29:29,null,1440,900,1440,1211,18,female,white,not_hispanic,normal,,neutral,somewhat_disagree,neutral,neutral,somewhat_disagree,neutral,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree
a0832varc3,13578,22/03/2022@12:14:26,null,1440,900,1440,1214,19,female,white,not_hispanic,normal,"I feel like no matter if it was an increase or decrease, I was compelled to choose the safe deck",somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree,neutral,somewhat_agree,somewhat_disagree,somewhat_agree,neutral,somewhat_disagree,strongly_agree,neutral,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree
xcut9bm21z,13542,01/04/2022@15:56:42,null,1536,960,1519,1215,18,male,white,not_hispanic,normal,I preferred a decrease yet when choosing between one set number and a difference between two I would choose the set one if it was an average and the different ones if the largest wasnt above something around 45.,somewhat_agree,strongly_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_disagree,strongly_agree,strongly_agree,somewhat_disagree,somewhat_agree,somewhat_agree,strongly_agree,somewhat_agree,somewhat_agree,somewhat_agree
cshkx3nj1bk,13421,01/04/2022@18:23:55,null,1536,864,1519,1215,18,male,white,not_hispanic,corrected,I preferred the riskier option because I didn't find the punishment to be so much more challenging that picking the safer option would ever be worth it.,neutral,neutral,somewhat_disagree,neutral,neutral,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,strongly_agree,somewhat_agree,somewhat_disagree,somewhat_agree,neutral,neutral,somewhat_agree,somewhat_agree
roefntw65o,13459,03/04/2022@20:53:50,null,1920,1080,1908,1207,18,male,white,not_hispanic,corrected,I found that I preferred the safe deck with only one outcome due to the thought that statistically the safer deck would most likely equal less than the risky deck.,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_disagree,somewhat_disagree,strongly_agree,strongly_disagree,somewhat_agree,somewhat_agree,strongly_agree,strongly_agree,somewhat_disagree,somewhat_agree,somewhat_agree,strongly_agree,strongly_agree,somewhat_agree,strongly_agree
2uvofl2xyxu,13604,21/03/2022@20:12:12,null,1368,912,1351,1209,19,female,white,not_hispanic,corrected,,neutral,neutral,neutral,neutral,somewhat_disagree,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,neutral,neutral,neutral,neutral
83br438t2xb,13558,03/04/2022@12:17:23,null,1536,864,1519,1215,19,male,white,not_hispanic,corrected,"When the stakes were higher with larger numbers, I usually chose the safe deck. On the other hand, when the numbers were lower, I chose the risky deck. I'd rather not risk having 60 objects compared to 46, although I could handle 32. Since I can handle 32, risking it to get lower numbers is only an added bonus.",somewhat_disagree,somewhat_agree,somewhat_disagree,neutral,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,strongly_agree,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,neutral,neutral,somewhat_agree
zuqs390hdqh,13500,21/03/2022@20:18:16,null,1440,900,1440,1209,18,female,white,not_hispanic,corrected,I feel as if I took the risky deck more frequently when the number of objects was increasing because the amount that was added didn't make a huge difference to me so I was willing to risk more. I chose the safe option when the options were decreasing because I thought that even a small decrease made a bigger difference. ,somewhat_disagree,neutral,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_agree,neutral,somewhat_disagree,neutral,somewhat_disagree,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree
7q9s2256lz7,13362,29/03/2022@13:50:43,null,1792,1120,1134,1214,,female,white,not_hispanic,normal,I found myself leaning more towards the risky deck for the chance that there may be less objects to investigate.,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree
